ID,COD,MARCA,NOME,PRECO,QUANTIDADE
228,7896004010465,Pringles,"Pringles Lemon Pepper 105g",14,1
229,7896004010632,Pringles,"Pringles Pizza Portuguesa 105g",14,1
230,7896004010618,Pringles,"Pringles Pizza Calabresa 105g",14,1
231,7896004006277,Pringles,"Pringles Original 104g",14,1
232,7896004008998,Pringles,"Pringles Cheddar e Bacon 105g",14,1
233,7896004010625,Pringles,"Pringles Pizza Marguerita 105g",14,1
234,7892840822316,"Elma Chips","Cheetos Mix de Queijos 82g",9.99,1
235,7892840822514,"Elma Chips","Cheetos Parmesão 95g",9.99,1
236,7892840822774,"Elma Chips","Baconzitos 86g",9.99,1
237,7892840822804,"Elma Chips","Cebolitos 91g",9.99,1
238,7892840822880,"Elma Chips","Fandangos Presunto 105g",8.99,1
239,7892840817978,"Elma Chips","Ruffles Original 115g",14.99,1
240,7892840823054,"Elma Chips","Ruffles Original 68g",8.99,1
241,7892840823030,"Elma Chips","Ruffles Cebola e Salsa 68g",8.99,1
242,7892840823047,"Elma Chips","Ruffles Churrasco 68g",8.99,1
243,7892840823399,"Elma Chips","Lay's Sour Cream 70g",9.99,1
244,7892840822989,"Elma Chips","Ruffles Cebola e Salsa 32g",3.99,1
245,7892840824068,"Elma Chips","Cheetos Mix de Queijo 41g",3.99,1
